Designator,Mid X,Mid Y,Rotation,Layer
C1,125.985,-65.005,180.0,bottom
C10,135.995,-63.665,180.0,top
C11,135.995,-61.535,0.0,top
C12,99.93,-62.49,90.0,bottom
C13,107.4875,-61.56,0.0,bottom
C14,107.4675,-63.47,0.0,bottom
C2,134.335,-53.245,0.0,bottom
C3,121.0,-62.9,180.0,top
C4,129.865,-65.005,0.0,bottom
C5,122.6875,-54.375,0.0,bottom
C6,130.8725,-53.245,0.0,bottom
C7,132.645,-64.095,90.0,bottom
C8,135.9825,-59.268333,180.0,top
C9,135.9825,-57.235,180.0,top
D1,116.6075,-63.41,180.0,top
D2,107.4725,-54.48,0.0,top
D3,117.41,-54.48,0.0,top
D4,112.44125,-54.48,0.0,top
D5,101.9,-56.3375,90.0,bottom
D6,99.88,-56.3375,90.0,bottom
FB1,137.84,-53.24,180.0,bottom
J1,148.75,-55.08,0.0,top
J2,103.99,-56.36,270.0,top
J3,100.0,-50.0,270.0,bottom
J4,100.0,-67.78,270.0,bottom
R1,107.45,-56.06,180.0,top
R2,117.3875,-56.1,180.0,top
R3,112.41875,-56.06,180.0,top
R4,105.463333,-63.475,90.0,top
R5,113.4,-63.475,270.0,top
R6,142.58,-61.53,180.0,top
R7,118.6625,-59.9,90.0,top
R8,107.45,-57.66,180.0,top
R9,107.45,-59.27,180.0,top
SW1,101.495,-63.425,180.0,top
SW2,109.431666,-63.425,180.0,top
U1,127.511555,-58.875109,90.0,bottom
U2,127.511555,-58.875109,180.0,top
U3,113.85,-59.475,180.0,top
U4,103.1175,-62.51,180.0,bottom
Y1,140.065,-58.210833,180.0,top
Y2,139.055,-62.635,90.0,top
