Designator,Mid X,Mid Y,Rotation,Layer
C1,193.512501,-121.35,0.0,bottom
C10,180.2,-114.99,90.0,bottom
C11,186.0,-121.14,180.0,bottom
C12,189.5,-110.49,0.0,bottom
C13,186.2375,-81.8,90.0,bottom
C14,188.825,-87.65,180.0,bottom
C15,193.725,-81.75,270.0,top
C16,191.4625,-81.8,270.0,bottom
C17,190.475,-94.525,0.0,bottom
C2,193.512501,-119.05,0.0,bottom
C3,187.05,-105.1375,90.0,top
C4,186.0,-124.53,180.0,top
C5,182.4625,-124.505,180.0,top
C6,186.0,-119.04,180.0,bottom
C7,188.35,-134.5,0.0,top
C8,186.0,-110.49,180.0,bottom
C9,192.0,-114.99,90.0,bottom
D1,189.65,-105.0875,270.0,top
D2,190.9725,-87.675,0.0,top
D3,180.575,-87.675,0.0,top
D4,192.125,-136.225,0.0,top
D5,185.82,-87.675,0.0,top
D6,188.975,-81.225,90.0,top
D7,191.3626,-81.225,90.0,top
FB1,191.925,-86.325,90.0,bottom
J1,189.645,-96.46,270.0,top
J2,180.625,-83.675,180.0,top
J3,174.4,-80.3656,0.0,bottom
J4,197.26,-80.3656,0.0,bottom
JP1,190.74,-123.0,90.0,top
L1,189.775001,-119.05,180.0,bottom
L2,188.825,-85.425,180.0,bottom
Q1,191.94,-91.1375,90.0,top
Q2,188.825,-90.55,90.0,bottom
Q3,184.9,-90.55,0.0,bottom
R1,192.4075,-129.59,180.0,bottom
R10,194.225,-86.325,90.0,bottom
R11,182.175,-90.55,90.0,bottom
R12,184.9,-93.0,180.0,bottom
R2,180.5525,-90.2,180.0,top
R3,192.1025,-140.45,0.0,top
R4,185.7975,-90.2,180.0,top
R5,193.6925,-92.35,180.0,bottom
R6,185.8,-140.45,180.0,top
R7,193.605,-89.99,0.0,bottom
R8,179.5,-140.45,0.0,top
R9,194.25,-81.8,90.0,bottom
SW1,179.4875,-144.25,0.0,top
SW2,185.8,-144.25,0.0,top
SW3,192.1125,-144.25,0.0,top
U1,192.45,-126.7,90.0,bottom
U2,178.3,-107.55,90.0,bottom
U3,185.99,-114.89,135.0,top
U4,185.99,-114.89,180.0,bottom
U5,188.825,-81.8,270.0,bottom
X1,190.01,-129.66,90.0,top
Y1,183.18,-129.95,270.0,top
